Label,StopwordRemovedSentence
neutral,leant
negative,ill wounded
neutral,head swathed bandages covered blood lay pillow
negative,undid bandages wounded man looked large eyes gave sign pain
negative,horrible wound
negative,skull shattered deadly weapon left brain exposed much injured
negative,clots blood formed bruised broken mass colour like dregs wine
neutral,contusion suffusion brain
negative,breathing slow spasmodic movements muscles agitated face
neutral,felt pulse
neutral,intermittent
negative,extremities body growing cold already saw death must inevitably ensue
negative,dressing unfortunate man wounds readjusted bandages head turned captain nemo
neutral,caused wound asked
neutral,signify replied evasively
negative,shock broken one levers engine struck
neutral,opinion state hesitated giving
neutral,may speak said captain
neutral,man understand french gave last look wounded man
negative,dead two hours nothing save nothing captain nemo hand contracted tears glistened eyes thought incapable shedding
negative,moments still watched dying man whose life ebbed slowly
negative,pallor increased electric light shed death bed
negative,looked intelligent forehead furrowed premature wrinkles produced probably misfortune sorrow
neutral,tried learn secret life last words escaped lips
neutral,go aronnax said captain
negative,left dying man cabin returned room much affected scene
negative,whole day haunted uncomfortable suspicions night slept badly broken dreams fancied heard distant sighs like notes funeral psalm
negative,prayers dead murmured language could understand
neutral,next morning went bridge
neutral,captain nemo
neutral,soon perceived came
neutral,professor convenient make submarine excursion day companions asked
positive,like obey orders captain good put cork jackets question dead dying
neutral,rejoined ned land conseil told captain nemo proposition
positive,conseil hastened accept time canadian seemed quite willing follow example
neutral,eight clock morning
neutral,half past eight equipped new excursion provided two contrivances light breathing
positive,double door open accompanied captain nemo followed dozen crew set foot depth thirty feet solid bottom nautilus rested
neutral,slight declivity ended uneven bottom fifteen fathoms depth
neutral,bottom differed entirely one visited first excursion waters pacific ocean
positive,fine sand submarine prairies sea forest
neutral,immediately recognised marvellous region day captain honours us
neutral,coral kingdom
positive,light produced thousand charming varieties playing midst branches vividly coloured
neutral,seemed see membraneous cylindrical tubes tremble beneath undulation waters
positive,tempted gather fresh petals ornamented delicate tentacles blown others budding small fish swimming swiftly touched slightly like flights birds
positive,hand approached living flowers animated sensitive plants whole colony took alarm
negative,white petals entered red cases flowers faded looked bush changed block stony knobs
positive,chance thrown precious specimens zoophyte
neutral,coral valuable found mediterranean coasts france italy barbary
positive,tints justified poetical names flower blood froth blood trade given beautiful productions
neutral,coral sold 20 per ounce place watery beds would make fortunes company coral divers
positive,precious matter often confused polypi formed inextricable plots called macciota noticed several beautiful specimens pink coral
positive,soon bushes contract arborisations increase
positive,real petrified thickets long joints fantastic architecture disclosed us
positive,captain nemo placed dark gallery slight declivity reached depth hundred yards
positive,light lamps produced sometimes magical effects following rough outlines natural arches pendants disposed like lustres tipped points fire
neutral,last walking two hours attained depth three hundred yards say extreme limit coral begins form
negative,isolated bush modest brushwood bottom lofty trees
positive,immense forest large mineral vegetations enormous petrified trees united garlands elegant sea bindweed adorned clouds reflections
positive,passed freely high branches lost shade waves
negative,captain nemo stopped
neutral,companions halted turning round saw men forming semi circle round chief
neutral,watching attentively observed four carried shoulders object oblong shape
neutral,occupied place centre vast glade surrounded lofty foliage submarine forest
positive,lamps threw place sort clear twilight singularly elongated shadows ground
positive,end glade darkness increased relieved little sparks reflected points coral
neutral,ned land conseil near
negative,watched thought going witness strange scene
positive,observing ground saw raised certain places slight excrescences encrusted limy deposits disposed regularity betrayed hand man
negative,midst glade pedestal rocks roughly piled stood cross coral extended long arms one might thought made petrified blood
positive,upon sign captain nemo one men advanced feet cross began dig hole pickaxe took belt
neutral,understood
negative,glade cemetery hole tomb oblong object body man died night
neutral,captain men come bury companion general resting place bottom inaccessible ocean
negative,grave dug slowly fish fled sides retreat thus disturbed heard strokes pickaxe sparkled hit upon flint lost bottom waters
neutral,hole soon large deep enough receive body
negative,bearers approached body enveloped tissue white linen lowered damp grave
positive,captain nemo arms crossed breast friends loved knelt prayer
negative,illustration fell knees attitude prayer grave filled rubbish taken ground formed slight mound
negative,done captain nemo men rose approaching grave knelt extended hands sign last adieu
negative,funeral procession returned nautilus passing arches forest midst thickets along coral bushes still ascent
neutral,last light ship appeared luminous track guided us nautilus
neutral,one clock returned
negative,soon changed clothes went platform prey conflicting emotions sat near binnacle
neutral,captain nemo joined
negative,rose said said would man died night yes aronnax rests near companions coral cemetery yes forgotten else us
negative,dug grave polypi undertake seal dead eternity burying face quickly hands tried vain suppress sob
negative,added peaceful cemetery hundred feet surface waves dead sleep quietly least captain reach sharks yes sir sharks men gravely replied captain
neutral,come second part journey sea
positive,first ended moving scene coral cemetery left deep impression mind
positive,thus midst great sea captain nemo life passing even grave prepared one deepest abysses
negative,one ocean monsters could trouble last sleep crew nautilus friends riveted death life
neutral,man either added captain
neutral,still fierce implacable defiance towards human society
positive,could longer content theory satisfied conseil
negative,worthy fellow persisted seeing commander nautilus one unknown savants return mankind contempt indifference
negative,misunderstood genius tired earth deceptions taken refuge inaccessible medium might follow instincts freely
neutral,mind explains one side captain nemo character
negative,indeed mystery last night chained prison sleep precaution violently taken captain snatching eyes glass raised sweep horizon mortal wound man due unaccountable shock nautilus put new track
positive,captain nemo satisfied shunning man
positive,formidable apparatus suited instinct freedom perhaps also design terrible retaliation
negative,moment nothing clear catch glimpse light amidst darkness must confine writing events shall dictate
neutral,day 24th january 1868 noon second officer came take altitude sun
neutral,mounted platform lit cigar watched operation
negative,seemed man understand french several times made remarks loud voice must drawn involuntary sign attention understood remained undisturbed dumb
positive,taking observations sextant one sailors nautilus strong man accompanied us first submarine excursion island crespo came clean glasses lantern
positive,examined fittings apparatus strength increased hundredfold lenticular rings placed similar lighthouse projected brilliance horizontal plane
positive,electric lamp combined way give powerful light
neutral,indeed produced vacuo insured steadiness intensity
positive,vacuum economised graphite points luminous arc developed important point economy captain nemo could easily replaced conditions waste imperceptible
positive,nautilus ready continue submarine journey went saloon
neutral,panel closed course marked direct west
negative,furrowing waters indian ocean vast liquid plain surface 1 200 000 000 acres whose waters clear transparent one leaning would turn giddy
neutral,nautilus usually floated fifty hundred fathoms deep
neutral,went days
positive,anyone great love sea hours would seemed long monotonous daily walks platform steeped reviving air ocean sight rich waters windows saloon books library compiling memoirs took time left moment ennui weariness
positive,days saw great number aquatic birds sea mews gulls
negative,cleverly killed prepared certain way made acceptable water game
negative,amongst large winged birds carried long distance lands resting upon waves fatigue flight saw magnificent albatrosses uttering discordant cries like braying ass birds belonging family long wings
positive,fish always provoked admiration surprised secrets aquatic life open panels
positive,saw many kinds never chance observing
neutral,shall notice chiefly ostracions peculiar red sea indian ocean part washes coast tropical america
positive,fishes like tortoise armadillo sea hedgehog crustacea protected breastplate neither chalky stony real bone
positive,takes form solid triangle others solid quadrangle
positive,amongst triangular saw inch half length wholesome flesh delicious flavour brown tail yellow fins recommend introduction fresh water certain number sea fish easily accustom
negative,would also mention quadrangular ostracions back four large tubercles dotted white spots lower part body may tamed like birds trigons provided spikes formed lengthening bony shell strange gruntings called seapigs also dromedaries large humps shape cone whose flesh tough leathery
neutral,borrow daily notes master conseil
positive,certain fish genus petrodon peculiar seas red backs white chests distinguished three rows longitudinal filaments electrical seven inches long decked liveliest colours
positive,specimens kinds ovoides resembling egg dark brown colour marked white bands without tails diodons real sea porcupines furnished spikes capable swelling way look like cushions bristling darts hippocampi common every ocean pegasi lengthened snouts pectoral fins much elongated formed shape wings allow fly least shoot air pigeon spatulae tails covered many rings shell macrognathi long jaws excellent fish nine inches long bright agreeable colours pale coloured calliomores rugged heads plenty chaetpdons long tubular muzzles kill insects shooting air gun single drop water
neutral,may call flycatchers seas
negative,eighty ninth genus fishes classed lacepede belonging second lower class bony characterised opercules bronchial membranes remarked scorpaena head furnished spikes one dorsal fin creatures covered little shells according sub class belong
positive,second sub class gives us specimens didactyles fourteen fifteen inches length yellow rays heads fantastic appearance
negative,first sub class gives several specimens singular looking fish appropriately called seafrog large head sometimes pierced holes sometimes swollen protuberances bristling spikes covered tubercles irregular hideous horns body tail covered callosities sting makes dangerous wound repugnant horrible look 21st 23rd january nautilus went rate two hundred fifty leagues twenty four hours five hundred forty miles twenty two miles hour
positive,recognised many different varieties fish attracted electric light tried follow us greater part however soon distanced speed though kept place waters nautilus time
neutral,morning 24th 12 5
positive,lat 94 33 long observed keeling island coral formation planted magnificent cocos visited mr darwin captain fitzroy
neutral,nautilus skirted shores desert island little distance
positive,nets brought numerous specimens polypi curious shells mollusca
positive,precious productions species delphinulae enriched treasures captain nemo added astraea punctifera kind parasite polypus often found fixed shell
negative,soon keeling island disappeared horizon course directed north west direction indian peninsula
positive,keeling island course slower variable often taking us great depths
positive,several times made use inclined planes certain internal levers placed obliquely waterline
positive,way went two miles without ever obtaining greatest depths indian sea soundings seven thousand fathoms never reached
neutral,temperature lower strata thermometer invariably indicated 4 zero
neutral,observed upper regions water always colder high levels surface sea
positive,25th january ocean entirely deserted nautilus passed day surface beating waves powerful screw making rebound great height
neutral,circumstances would taken gigantic cetacean
neutral,three parts day spent platform
neutral,watched sea
neutral,nothing horizon till four clock steamer running west counter
neutral,masts visible instant could see nautilus low water
neutral,fancied steamboat belonged p
neutral,company runs ceylon sydney touching king george point melbourne
positive,five clock evening fleeting twilight binds night day tropical zones conseil astonished curious spectacle
neutral,shoal argonauts travelling along surface ocean
neutral,could count several hundreds
positive,belonged tubercle kind peculiar indian seas
positive,graceful molluscs moved backwards means locomotive tube propelled water already drawn
positive,eight tentacles six elongated stretched floating water whilst two rolled flat spread wing like light sail
positive,saw spiral shaped fluted shells cuvier justly compares elegant skiff
neutral,boat indeed
neutral,bears creature secretes without adhering
neutral,nearly hour nautilus floated midst shoal molluscs
negative,know sudden fright took
negative,signal every sail furled arms folded body drawn shells turned changing centre gravity whole fleet disappeared waves
neutral,never ships squadron man uvre unity
neutral,moment night fell suddenly reeds scarcely raised breeze lay peaceably sides nautilus
negative,next day 26th january cut equator eighty second meridian entered northern hemisphere
negative,day formidable troop sharks accompanied us terrible creatures multiply seas make dangerous
positive,cestracio philippi sharks brown backs whitish bellies armed eleven rows teeth eyed sharks throat marked large black spot surrounded white like eye
neutral,also isabella sharks rounded snouts marked dark spots
negative,powerful creatures often hurled windows saloon violence make us feel insecure
neutral,times ned land longer master
positive,wanted go surface harpoon monsters particularly certain smooth hound sharks whose mouth studded teeth like mosaic large tiger sharks nearly six yards long last named seemed excite particularly
negative,nautilus accelerating speed easily left rapid behind
negative,27th january entrance vast bay bengal met repeatedly forbidding spectacle dead bodies floating surface water
negative,dead indian villages carried ganges level sea vultures undertakers country able devour
negative,sharks fail help funeral work
neutral,seven clock evening nautilus half immersed sailing sea milk
neutral,first sight ocean seemed lactified
neutral,effect lunar rays
negative,moon scarcely two days old still lying hidden horizon rays sun
neutral,whole sky though lit sidereal rays seemed black contrast whiteness waters
negative,conseil could believe eyes questioned cause strange phenomenon
positive,happily able answer
neutral,called milk sea explained
neutral,large extent white wavelets often seen coasts amboyna parts sea sir said conseil tell causes effect
positive,suppose water really turned milk boy whiteness surprises caused presence myriads infusoria sort luminous little worm gelatinous without colour thickness hair whose length seven thousandths inch
neutral,insects adhere one another sometimes several leagues several leagues exclaimed conseil
positive,yes boy need try compute number infusoria
negative,able mistaken ships floated milk seas forty miles towards midnight sea suddenly resumed usual colour behind us even limits horizon sky reflected whitened waves long time seemed impregnated vague glimmerings aurora borealis
neutral,28th february noon nautilus came surface sea 9 4 n
neutral,lat land sight eight miles westward
neutral,first thing noticed range mountains two thousand feet high shapes capricious
neutral,taking bearings knew nearing island ceylon pearl hangs lobe indian peninsula
neutral,captain nemo second appeared moment
neutral,captain glanced map
neutral,turning said island ceylon noted pearl fisheries
positive,would like visit one aronnax certainly captain well thing easy
neutral,though see fisheries shall see fishermen
neutral,annual exportation yet begun
neutral,never mind give orders make gulf manaar shall arrive night captain said something second immediately went
neutral,soon nautilus returned native element manometer showed thirty feet deep
positive,well sir said captain nemo companions shall visit bank manaar chance fisherman shall see work agreed captain bye aronnax afraid sharks sharks exclaimed
negative,question seemed hard one
neutral,well continued captain nemo
positive,admit captain yet familiar kind fish accustomed replied captain nemo time
neutral,however shall armed road may able hunt tribe
positive,interesting
negative,till morrow sir early said careless tone captain nemo left saloon
neutral,invited hunt bear mountains switzerland would say
neutral,well
neutral,morrow go hunt bear asked hunt lion plains atlas tiger indian jungles would say
positive,ha
positive,ha
positive,seems going hunt tiger lion invited hunt shark natural element would perhaps reflect accepting invitation
negative,passed hand forehead stood large drops cold perspiration
neutral,let us reflect said take time
positive,hunting otters submarine forests island crespo pass going bottom sea one almost certain meet sharks quite another thing
positive,know well certain countries particularly andaman islands negroes never hesitate attack dagger one hand running noose also know affront creatures ever return alive
positive,however negro think little hesitation case would ill timed moment conseil canadian entered quite composed even joyous
negative,knew awaited
positive,faith sir said ned land captain nemo devil take made us pleasant offer ah said know agreeable sir interrupted conseil commander nautilus invited us visit magnificent ceylon fisheries morrow company kindly behaved like real gentleman said nothing nothing sir except already spoken little walk sir said conseil would give us details pearl fishery fishing asked incidents fishing replied canadian entering upon ground well know something well sit friends teach ned conseil seated ottoman first thing canadian asked sir pearl worthy ned answered poet pearl tear sea orientals drop dew solidified ladies jewel oblong shape brilliancy mother pearl substance wear fingers necks ears chemist mixture phosphate carbonate lime little gelatine lastly naturalists simply morbid secretion organ produces mother pearl amongst certain bivalves branch molluscs said conseil
positive,precisely learned conseil amongst testacea earshell tridacnae turbots word secrete mother pearl blue bluish violet white substance lines interior shells capable producing pearls mussels asked canadian
positive,yes mussels certain waters scotland wales ireland saxony bohemia france good
negative,future shall pay attention replied canadian
positive,continued particular mollusc secretes pearl pearl oyster meleagrina margaritiferct precious pintadine
neutral,pearl nothing nacreous formation deposited globular form either adhering oyster shell buried folds creature
negative,shell fast flesh loose always kernel small hard substance may barren egg may grain sand around pearly matter deposits year year successively thin concentric layers many pearls found oyster asked conseil
positive,yes boy
positive,perfect casket
negative,one oyster mentioned though allow doubt contained less hundred fifty sharks hundred fifty sharks exclaimed ned land
neutral,say sharks said hurriedly
neutral,meant say hundred fifty pearls
positive,sharks would sense certainly said conseil tell us means extract pearls proceed various ways
neutral,adhere shell fishermen often pull pincers common way lay oysters mats seaweed covers banks
negative,thus die open air end ten days forward state decomposition
neutral,plunged large reservoirs sea water opened washed price pearls varies according size asked conseil
positive,according size answered also according shape water colour lustre bright diapered sparkle makes charming eye
positive,beautiful called virgin pearls paragons
negative,formed alone tissue mollusc white often opaque sometimes transparency opal generally round oval
positive,round made bracelets oval pendants precious sold singly
neutral,adhering shell oyster irregular shape sold weight
negative,lastly lower order classed small pearls known name seed pearls sold measure especially used embroidery church ornaments said conseil pearl fishery dangerous answered quickly particularly certain precautions taken one risk calling said ned land swallowing mouthfuls sea water say ned
negative,bye said trying take captain nemo careless tone afraid sharks brave ned replied canadian harpooner profession
positive,trade make light said question fishing iron swivel hoisting vessel cutting tails blow chopper ripping throwing heart sea question precisely water water faith good harpoon
negative,know sir sharks ill fashioned beasts
neutral,turn bellies seize time ned land way saying seize made blood run cold
neutral,well conseil think sharks said conseil
positive,frank sir much better thought
neutral,next morning four clock awakened steward captain nemo placed service
positive,rose hurriedly dressed went saloon
neutral,captain nemo awaiting
neutral,
positive,aronnax said ready start ready please follow companions captain told waiting put diver dresses asked
neutral,yet
positive,allowed nautilus come near coast distance manaar bank boat ready take us exact point disembarking save us long way
neutral,carries diving apparatus put begin submarine journey captain nemo conducted central staircase led platform
positive,ned conseil already delighted idea pleasure party preparing
neutral,five sailors nautilus oars waited boat made fast side
neutral,night still dark
neutral,layers clouds covered sky allowing stars seen
neutral,looked side land lay saw nothing dark line enclosing three parts horizon south west north west
neutral,nautilus returned night western coast ceylon west bay rather gulf formed mainland island manaar
neutral,dark waters stretched pintadine bank inexhaustible field pearls length twenty miles
neutral,captain nemo ned land conseil took places stern boat
neutral,master went tiller four companions leaned oars painter cast sheered
neutral,boat went towards south oarsmen hurry
positive,noticed strokes strong water followed every ten seconds according method generally adopted navy
positive,whilst craft running velocity liquid drops struck dark depths waves crisply like spats melted lead
neutral,little billow spreading wide gave slight roll boat samphire reeds flapped
neutral,silent
neutral,captain nemo thinking
neutral,perhaps land approaching found near contrary canadian opinion thought far
neutral,conseil merely curiosity
neutral,half past five first tints horizon showed upper line coast distinctly
positive,flat enough east rose little south
neutral,five miles still lay us indistinct owing mist water
neutral,six clock became suddenly daylight rapidity peculiar tropical regions know neither dawn twilight
positive,solar rays pierced curtain clouds piled eastern horizon radiant orb rose rapidly
neutral,saw land distinctly trees scattered
neutral,boat neared manaar island rounded south
positive,captain nemo rose seat watched sea
negative,sign anchor dropped chain scarcely ran little yard deep spot one highest points bank pintadines
neutral,aronnax said captain nemo
neutral,see enclosed bay
positive,month assembled numerous fishing boats exporters waters divers ransack boldly
positive,happily bay well situated kind fishing
positive,sheltered strongest winds sea never rough makes favourable diver work
positive,put dresses begin walk answer watching suspected waves began help sailors put heavy sea dress
neutral,captain nemo companions also dressing
neutral,none nautilus men accompany us new excursion
positive,soon enveloped throat india rubber clothing air apparatus fixed backs braces
neutral,ruhmkorff apparatus necessity
neutral,putting head copper cap asked question captain
negative,would useless replied
positive,going great depth solar rays enough light walk
negative,besides would prudent carry electric light waters brilliancy might attract dangerous inhabitants coast inopportunely captain nemo pronounced words turned conseil ned land
neutral,two friends already encased heads metal cap could neither hear answer
neutral,one last question remained ask captain nemo
neutral,arms asked guns guns
neutral,
negative,mountaineers attack bear dagger hand steel surer lead
positive,strong blade put belt start looked companions armed like us ned land brandishing enormous harpoon placed boat leaving nautilus
neutral,following captain example allowed dressed heavy copper helmet reservoirs air activity
neutral,instant landed one two yards water upon even sand
positive,captain nemo made sign hand followed gentle declivity till disappeared waves
positive,feet like coveys snipe bog rose shoals fish genus monoptera fins tail
negative,recognized javanese real serpent two half feet long livid colour underneath might easily mistaken conger eel golden stripes side
positive,genus stromateus whose bodies flat oval saw brilliant colours carrying dorsal fin like scythe excellent eating fish dried pickled known name karawade tranquebars belonging genus apsiphoroides whose body covered shell cuirass eight longitudinal plates
neutral,heightening sun lit mass waters
neutral,soil changed degrees
positive,fine sand succeeded perfect causeway boulders covered carpet molluscs zoophytes
positive,amongst specimens branches noticed placenae thin unequal shells kind ostracion peculiar red sea indian ocean orange lucinae rounded shells rockfish three feet half long raised waves like hands ready seize one
positive,also panopyres slightly luminous lastly oculines like magnificent fans forming one richest vegetations seas
negative,midst living plants arbours hydrophytes layers clumsy articulates particularly raninae whose carapace formed slightly rounded triangle horrible looking parthenopes
neutral,seven clock found last surveying oyster banks pearl oysters reproduced millions
positive,captain nemo pointed hand enormous heap oysters could well understand mine inexhaustible nature creative power far beyond man instinct destruction
positive,ned land faithful instinct hastened fill net carried side finest specimens
negative,could stop
neutral,must follow captain seemed guide self paths known
neutral,ground sensibly rising sometimes holding arm surface sea
neutral,level bank would sink capriciously
neutral,often rounded high rocks scarped pyramids
positive,dark fractures huge crustacea perched upon high claws like war machine watched us fixed eyes feet crawled various kinds annelides
positive,moment opened us large grotto dug picturesque heap rocks carpeted thick warp submarine flora
neutral,first seemed dark
negative,solar rays seemed extinguished successive gradations vague transparency became nothing drowned light
neutral,captain nemo entered followed
negative,eyes soon accustomed relative state darkness
positive,could distinguish arches springing capriciously natural pillars standing broad upon granite base like heavy columns tuscan architecture
neutral,incomprehensible guide led us bottom submarine crypt
neutral,soon know
positive,descending rather sharp declivity feet trod bottom kind circular pit
negative,captain nemo stopped hand indicated object yet perceived
neutral,oyster extraordinary dimensions gigantic tridacne goblet could contained whole lake holy water basin breadth two yards half consequently larger ornamenting saloon nautilus
neutral,approached extraordinary mollusc
positive,adhered filaments table granite isolated developed calm waters grotto
neutral,estimated weight tridacne 600 lbs
neutral,oyster would contain 30 lbs
neutral,meat one must stomach gargantua demolish dozens
neutral,captain nemo evidently acquainted existence bivalve seemed particular motive verifying actual state tridacne
negative,shells little open captain came near put dagger prevent closing hand raised membrane fringed edges formed cloak creature
negative,folded plaits saw loose pearl whose size equalled coco nut
positive,globular shape perfect clearness admirable lustre made altogether jewel inestimable value
positive,carried away curiosity stretched hand seize weigh touch captain stopped made sign refusal quickly withdrew dagger two shells closed suddenly
neutral,understood captain nemo intention
neutral,leaving pearl hidden mantle tridacne allowing grow slowly
neutral,year secretions mollusc would add new concentric circles
negative,estimated value 500 000 least
negative,ten minutes captain nemo stopped suddenly
neutral,thought halted previously returning
positive,gesture bade us crouch beside deep fracture rock hand pointed one part liquid mass watched attentively
neutral,five yards shadow appeared sank ground
negative,disquieting idea sharks shot mind mistaken monster ocean anything
negative,man living man indian fisherman poor devil suppose come glean harvest
neutral,could see bottom canoe anchored feet head
neutral,dived went successively
negative,stone held feet cut shape sugar loaf whilst rope fastened boat helped descend rapidly
neutral,apparatus
positive,reaching bottom five yards deep went knees filled bag oysters picked random
neutral,went emptied pulled stone began operation lasted thirty seconds
neutral,diver see us
negative,shadow rock hid us sight
negative,poor indian ever dream men beings like water watching movements losing detail fishing
neutral,several times went way dived
positive,carry away ten plunge obliged pull bank adhered means strong byssus
negative,many oysters risked life pearl
negative,watched closely man uvres regular space half hour danger appeared threaten
negative,beginning accustom sight interesting fishing suddenly indian ground saw make gesture terror rise make spring return surface sea
negative,understood dread
negative,gigantic shadow appeared unfortunate diver
negative,shark enormous size advancing diagonally eyes fire jaws open
negative,mute horror unable move
negative,voracious creature shot towards indian threw one side avoid shark fins tail struck chest stretched ground
positive,scene lasted seconds shark returned turning back prepared cutting indian two saw captain nemo rise suddenly dagger hand walk straight monster ready fight face face
negative,moment shark going snap unhappy fisherman two perceived new adversary turning made straight towards
neutral,still see captain nemo position
positive,holding well together waited shark admirable coolness rushed threw one side wonderful quickness avoiding shock burying dagger deep side
neutral,
negative,terrible combat ensued
negative,illustration terrible combat began shark seemed roar might say
neutral,blood rushed torrents wound
neutral,sea dyed red opaque liquid could distinguish nothing
negative,nothing moment like lightning saw undaunted captain hanging one creature fins struggling hand hand monster dealing successive blows enemy yet still unable give decisive one
negative,shark struggles agitated water fury rocking threatened upset
neutral,wanted go captain assistance nailed spot horror could stir
negative,saw haggard eye saw different phases fight
negative,captain fell earth upset enormous mass leant upon
positive,shark jaws opened wide like pair factory shears would captain quick thought harpoon hand ned land rushed towards shark struck sharp point
neutral,waves impregnated mass blood
neutral,rocked shark movements beat indescribable fury
negative,ned land missed aim
negative,monster death rattle
negative,struck heart struggled dreadful convulsions shock overthrew conseil
negative,ned land disentangled captain getting without wound went straight indian quickly cut cord held stone took arms sharp blow heel mounted surface
positive,three followed seconds saved miracle reached fisherman boat
positive,captain nemo first care recall unfortunate man life
positive,think could succeed
negative,hoped poor creature immersion long blow shark tail might death blow
positive,happily captain conseil sharp friction saw consciousness return degrees
neutral,opened eyes
positive,surprise terror even seeing four great copper heads leaning
neutral,must thought captain nemo drawing pocket dress bag pearls placed hand
negative,munificent charity man waters poor cingalese accepted trembling hand
positive,wondering eyes showed knew super human beings owed fortune life
neutral,sign captain regained bank following road already traversed came half hour anchor held canoe nautilus earth
positive,board help sailors got rid heavy copper helmet
neutral,captain nemo first word canadian
positive,thank master land said
negative,revenge captain replied ned land
positive,owed ghastly smile passed across captain lips
neutral,nautilus said
neutral,boat flew waves
negative,minutes met shark dead body floating
negative,black marking extremity fins recognised terrible melanopteron indian seas species shark properly called
neutral,twenty five feet long enormous mouth occupied one third body
neutral,adult known six rows teeth placed isosceles triangle upper jaw
negative,whilst contemplating inert mass dozen voracious beasts appeared round boat without noticing us threw upon dead body fought one another pieces
neutral,half past eight board nautilus
neutral,reflected incidents taken place excursion manaar bank
positive,two conclusions must inevitably draw one bearing upon unparalleled courage captain nemo upon devotion human representative race fled beneath sea
positive,whatever might say strange man yet succeeded entirely crushing heart
negative,course day 29th january island ceylon disappeared horizon nautilus speed twenty miles hour slid labyrinth canals separate maldives laccadives
neutral,coasted even island kiltan land originally coraline discovered vasco da gama 1499 one nineteen principal islands laccadive archipelago situated 10 14 30 n
neutral,lat 69 50 72 e long
neutral,made 16 220 miles 7 500 french leagues starting point japanese seas
neutral,next day 30th january nautilus went surface ocean land sight
neutral,course n n e direction sea oman arabia indian peninsula serves outlet persian gulf
negative,evidently block without possible egress
neutral,captain nemo taking us
neutral,could say
neutral,however satisfy canadian day came asking going
neutral,going captain fancy takes us master ned fancy cannot take us far said canadian
negative,persian gulf outlet go long well come master land persian gulf nautilus would like visit red sea straits bab el mandeb give us entrance need tell sir said ned land red sea much closed gulf isthmus suez yet cut boat mysterious would risk canal cut sluices
positive,red sea road take us back europe never said going back europe suppose suppose visiting curious coasts arabia egypt nautilus go indian ocean perhaps cross channel mozambique perhaps mascarenhas gain cape good hope cape good hope asked canadian peculiar emphasis
neutral,well shall penetrate atlantic yet know
neutral,ah
negative,friend ned getting tired journey sea surfeited incessantly varying spectacle submarine wonders
negative,part shall sorry see end voyage given men make four days till 3rd february nautilus scoured sea oman various speeds various depths
negative,seemed go random hesitating road follow never passed tropic cancer
positive,quitting sea sighted muscat instant one important towns country oman
positive,admired strange aspect surrounded black rocks upon white houses forts stood relief
positive,saw rounded domes mosques elegant points minarets fresh verdant terraces
positive,vision
neutral,nautilus soon sank waves part sea
neutral,passed along arabian coast mahrah hadramaut distance six miles undulating line mountains occasionally relieved ancient ruin
positive,5th february last entered gulf aden perfect funnel introduced neck bab el mandeb indian waters entered red sea
positive,6th february nautilus floated sight aden perched upon promontory narrow isthmus joins mainland kind inaccessible gibraltar fortifications rebuilt english taking possession 1839
neutral,caught glimpse octagon minarets town one time richest commercial magazine coast
positive,certainly thought captain nemo arrived point would back mistaken thing much surprise
negative,next day 7th february entered straits bab el mandeb name arab tongue means gate tears
neutral,twenty miles breadth thirty two length
neutral,nautilus starting full speed crossing scarcely work hour
neutral,saw nothing even island perim british government fortified position aden
neutral,many english french steamers line suez bombay calcutta melbourne bourbon mauritius furrowing narrow passage nautilus venture show
neutral,remained prudently
neutral,last noon waters red sea
neutral,would even seek understand caprice decided captain nemo upon entering gulf
positive,quite approved nautilus entering
negative,speed lessened sometimes kept surface sometimes dived avoid vessel thus able observe upper lower parts curious sea
negative,8th february first dawn day mocha came sight ruined town whose walls would fall gunshot yet shelters verdant date trees important city containing six public markets twenty six mosques whose walls defended fourteen forts formed girdle two miles circumference
positive,nautilus approached african shore depth sea greater
positive,two waters clear crystal open panels allowed contemplate beautiful bushes brilliant coral large blocks rock clothed splendid fur green variety sites landscapes along sandbanks alg fuci
neutral,indescribable spectacle variety sites landscapes along sandbanks volcanic islands bound libyan coast
positive,shrubs appeared beauty eastern coast nautilus soon gained
positive,coast tehama display zoophytes flourish beneath level sea also formed picturesque interlacings unfolded sixty feet surface capricious less highly coloured whose freshness kept vital power waters
positive,charming hours passed thus window saloon
positive,new specimens submarine flora fauna admire brightness electric lantern
neutral,9th february nautilus floated broadest part red sea comprised souakin west coast komfidah east coast diameter ninety miles
positive,day noon bearings taken captain nemo mounted platform happened determined let go without least pressing regarding ulterior projects
neutral,soon saw approached graciously offered cigar
positive,well sir red sea please
neutral,sufficiently observed wonders covers fishes zoophytes parterres sponges forests coral
positive,catch glimpse towns borders yes captain nemo replied nautilus wonderfully fitted study
neutral,ah
positive,intelligent boat yes sir intelligent invulnerable
negative,fears neither terrible tempests red sea currents sandbanks certainly said sea quoted one worst time ancients mistaken reputation detestable detestable aronnax
negative,greek latin historians speak favourably strabo says dangerous etesian winds rainy season
positive,arabian edrisi portrays name gulf colzoum relates vessels perished great numbers sandbanks one would risk sailing night
positive,pretends sea subject fearful hurricanes strewn inhospitable islands offers nothing good either surface depths one may see replied historians never sailed board nautilus replied captain smiling respect moderns advanced ancients
neutral,required many ages find mechanical power steam
positive,knows another hundred years may see second nautilus progress slow aronnax true answered boat least century time perhaps era
negative,misfortune secret invention die inventor captain nemo reply
negative,minutes silence continued speaking opinions ancient historians upon dangerous navigation red sea true said fears exaggerated yes aronnax replied captain nemo seemed know red sea heart
